Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Category,Resume
14.0,Caitlin Myers,"SQL, C++, Java",4.0,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410.0,10.0,100.0,,
15.0,Tammy Pineda,"Pytorch, NLP",0.0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555.0,5.0,45.0,,
16.0,Courtney Cook,"Cybersecurity, Networking",1.0,PhD,Google ML,Cybersecurity Analyst,Reject,51388.0,6.0,60.0,,
17.0,Megan Brown,"SQL, Python",10.0,PhD,,Data Scientist,Hire,115364.0,2.0,100.0,,
18.0,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3.0,B.Tech,,Cybersecurity Analyst,Hire,66379.0,6.0,80.0,,
19.0,Jonathon Pineda,"SQL, Python, Deep Learning",3.0,MBA,,Data Scientist,Hire,112439.0,10.0,95.0,,
20.0,Jennifer Collins,"Machine Learning, SQL, Python",10.0,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167.0,9.0,100.0,,
21.0,Nichole Welch,"SQL, Java, C++, React",5.0,B.Sc,,Software Engineer,Hire,57546.0,4.0,90.0,,
22.0,Amber Davis,"Python, TensorFlow, Pytorch, NLP",6.0,B.Sc,Google ML,AI Researcher,Hire,106352.0,10.0,100.0,,
23.0,William Clark,"Machine Learning, Deep Learning, SQL",4.0,MBA,AWS Certified,Data Scientist,Hire,107045.0,8.0,100.0,,
24.0,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8.0,MBA,Deep Learning Specialization,AI Researcher,Hire,94384.0,0.0,100.0,,
25.0,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",0.0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064.0,10.0,80.0,,
26.0,Roy Huang,"Python, NLP",7.0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447.0,10.0,100.0,,
27.0,Christopher Ayers,"Ethical Hacking, Cybersecurity",3.0,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203.0,2.0,60.0,,
28.0,Shaun Gomez,"Pytorch, NLP",1.0,M.Tech,,AI Researcher,Reject,41731.0,5.0,45.0,,
29.0,Claudia Harris,"NLP, Pytorch, Python",10.0,B.Tech,Google ML,AI Researcher,Hire,119307.0,2.0,100.0,,
30.0,Steven Thomas,"SQL, Python",10.0,B.Tech,AWS Certified,Data Scientist,Hire,59926.0,4.0,100.0,,
31.0,Abigail Watts,"Python, SQL",4.0,PhD,,Data Scientist,Hire,84679.0,10.0,100.0,,
32.0,Logan Mcclure,"Ethical Hacking, Networking, Linux",1.0,B.Sc,,Cybersecurity Analyst,Hire,58606.0,10.0,75.0,,
33.0,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8.0,M.Tech,AWS Certified,Data Scientist,Hire,51283.0,4.0,100.0,,
34.0,Maria Glover,"TensorFlow, Python, Pytorch",9.0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521.0,4.0,100.0,,
35.0,Sandra Juarez,"Networking, Linux, Ethical Hacking",0.0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001.0,10.0,75.0,,
36.0,Bradley Cruz,"NLP, Pytorch",7.0,PhD,AWS Certified,AI Researcher,Hire,92104.0,6.0,100.0,,
37.0,Darrell Wilkinson,"Python, NLP",7.0,M.Tech,Google ML,AI Researcher,Hire,80936.0,3.0,100.0,,
38.0,Jason Flores,"C++, SQL, Java",5.0,B.Tech,Google ML,Software Engineer,Hire,97505.0,7.0,100.0,,
39.0,Denise Harper,"Linux, Cybersecurity",7.0,PhD,,Cybersecurity Analyst,Hire,106469.0,0.0,80.0,,
40.0,Kim Blake,"SQL, Python",1.0,MBA,AWS Certified,Data Scientist,Hire,52364.0,8.0,70.0,,
41.0,Lindsey Jackson,"C++, React",10.0,MBA,AWS Certified,Software Engineer,Hire,101108.0,9.0,100.0,,
42.0,Frances Salazar,"Networking, Linux",1.0,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,51200.0,10.0,80.0,,
43.0,Justin Ross,"NLP, TensorFlow, Python",3.0,M.Tech,,AI Researcher,Hire,66403.0,10.0,95.0,,
44.0,Denise Ramirez,"Machine Learning, Python",1.0,MBA,Deep Learning Specialization,Data Scientist,Hire,50397.0,8.0,70.0,,
45.0,Tanya West,"SQL, Python, Machine Learning",4.0,M.Tech,AWS Certified,Data Scientist,Hire,95486.0,6.0,95.0,,
46.0,Ryan Peters,"SQL, Java",5.0,B.Sc,AWS Certified,Software Engineer,Hire,72756.0,4.0,90.0,,
47.0,Terry Burns,"SQL, Java, C++, React",4.0,MBA,AWS Certified,Software Engineer,Hire,50602.0,9.0,100.0,,
48.0,Christopher Stevenson,"Python, Machine Learning",8.0,PhD,Google ML,Data Scientist,Hire,103477.0,9.0,100.0,,
49.0,David Nash,"React, SQL, Java",1.0,MBA,Deep Learning Specialization,Software Engineer,Hire,46437.0,9.0,80.0,,
50.0,Christopher Nicholson,"Pytorch, Python",5.0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,89338.0,1.0,75.0,,
51.0,Kenneth Skinner,"Python, NLP, TensorFlow, Pytorch",5.0,PhD,,AI Researcher,Hire,45488.0,9.0,100.0,,
52.0,Dalton Smith,"Ethical Hacking, Cybersecurity, Linux",9.0,M.Tech,,Cybersecurity Analyst,Hire,55058.0,3.0,100.0,,
53.0,James Bailey,"SQL, Deep Learning, Machine Learning",1.0,MBA,,Data Scientist,Reject,54006.0,4.0,45.0,,
54.0,William Hill,"Python, SQL, Machine Learning",9.0,B.Sc,Google ML,Data Scientist,Hire,82004.0,2.0,100.0,,
55.0,James Jones,"Python, SQL, Machine Learning",0.0,B.Tech,AWS Certified,Data Scientist,Reject,112663.0,7.0,60.0,,
56.0,Danielle Drake,"Cybersecurity, Networking, Ethical Hacking",1.0,B.Sc,Google ML,Cybersecurity Analyst,Reject,56827.0,4.0,55.0,,
57.0,Rachel Wheeler,"C++, Java, SQL, React",3.0,B.Sc,Google ML,Software Engineer,Hire,49367.0,3.0,75.0,,
58.0,April Flores,"Networking, Cybersecurity, Ethical Hacking, Linux",1.0,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,86274.0,3.0,55.0,,
59.0,Ruth Oconnell,"TensorFlow, Pytorch",2.0,B.Sc,,AI Researcher,Reject,62312.0,1.0,35.0,,
60.0,Sarah Kane,"Java, React",6.0,PhD,Google ML,Software Engineer,Hire,80278.0,4.0,100.0,,
61.0,Rebecca Wagner,"Python, Pytorch",0.0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804.0,10.0,70.0,,
62.0,Laura Howell,"SQL, Deep Learning, Machine Learning, Python",8.0,B.Sc,,Data Scientist,Hire,72780.0,9.0,100.0,,
63.0,Kevin Miller,"Machine Learning, Deep Learning, Python",9.0,M.Tech,Google ML,Data Scientist,Hire,84443.0,3.0,100.0,,
64.0,Joanna Foster,"C++, React, Java, SQL",9.0,M.Tech,,Software Engineer,Hire,99057.0,8.0,100.0,,
65.0,Steven Bell II,"Deep Learning, Python, Machine Learning, SQL",10.0,MBA,Deep Learning Specialization,Data Scientist,Hire,63516.0,2.0,100.0,,
66.0,Cynthia Simmons,"Java, React, C++",1.0,PhD,,Software Engineer,Reject,62647.0,3.0,40.0,,
67.0,Brittney Mccormick,"Java, C++, React, SQL",8.0,B.Sc,,Software Engineer,Hire,89042.0,1.0,100.0,,
68.0,David Mitchell,"Pytorch, Python, TensorFlow, NLP",9.0,M.Tech,Google ML,AI Researcher,Hire,47919.0,4.0,100.0,,
69.0,Christopher Reed,"Linux, Networking, Ethical Hacking, Cybersecurity",9.0,M.Tech,Google ML,Cybersecurity Analyst,Hire,81596.0,3.0,100.0,,
70.0,Jonathan Fowler,"SQL, Python, Machine Learning, Deep Learning",1.0,B.Tech,AWS Certified,Data Scientist,Reject,43647.0,1.0,45.0,,
71.0,Taylor Wright,"Pytorch, TensorFlow, NLP",8.0,PhD,Deep Learning Specialization,AI Researcher,Hire,50670.0,0.0,100.0,,
72.0,Curtis Townsend,"Ethical Hacking, Networking, Linux",0.0,MBA,Google ML,Cybersecurity Analyst,Reject,60440.0,7.0,60.0,,
73.0,Scott Kidd,"Python, SQL, Machine Learning, Deep Learning",0.0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,69800.0,6.0,60.0,,
74.0,Donald Duffy,"Java, SQL",5.0,MBA,AWS Certified,Software Engineer,Hire,40914.0,6.0,100.0,,
75.0,Michael Chapman,"TensorFlow, NLP",9.0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,111697.0,4.0,100.0,,
76.0,Carolyn James,"Java, React, SQL, C++",4.0,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155.0,8.0,100.0,,
77.0,Timothy Kirby,"Python, Machine Learning",0.0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,61332.0,0.0,20.0,,
78.0,Michael Vasquez,"Cybersecurity, Ethical Hacking, Linux, Networking",7.0,PhD,,Cybersecurity Analyst,Hire,62406.0,1.0,95.0,,
79.0,Brooke Charles,"TensorFlow, Python",1.0,MBA,,AI Researcher,Reject,75420.0,6.0,50.0,,
80.0,Wesley Rodriguez,"Deep Learning, Python, Machine Learning, SQL",6.0,B.Sc,Deep Learning Specialization,Data Scientist,Hire,82300.0,4.0,100.0,,
81.0,Jamie Rose,"NLP, TensorFlow, Pytorch",7.0,MBA,,AI Researcher,Hire,88358.0,4.0,100.0,,
82.0,Melissa Clark,"React, C++",1.0,PhD,Deep Learning Specialization,Software Engineer,Hire,107085.0,10.0,80.0,,
83.0,Ryan Moore,"C++, Java",9.0,M.Tech,Deep Learning Specialization,Software Engineer,Hire,51284.0,4.0,100.0,,
84.0,Shawn Richardson,"Python, NLP, TensorFlow",10.0,B.Tech,,AI Researcher,Hire,62710.0,2.0,100.0,,
85.0,Lisa Navarro,"Java, SQL, C++",0.0,B.Sc,AWS Certified,Software Engineer,Reject,52290.0,2.0,35.0,,
86.0,Renee Patterson MD,"Java, React, C++",8.0,M.Tech,,Software Engineer,Hire,87272.0,2.0,100.0,,
87.0,Heather Bauer,"SQL, Deep Learning, Python, Machine Learning",6.0,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143.0,10.0,100.0,,
88.0,Derek Smith,"Python, Pytorch",7.0,B.Sc,,AI Researcher,Hire,98548.0,7.0,100.0,,
89.0,Jose Mclaughlin,"React, SQL, Java",5.0,PhD,Google ML,Software Engineer,Hire,102333.0,10.0,100.0,,
90.0,Christina Johnson,"Linux, Ethical Hacking, Cybersecurity, Networking",10.0,M.Tech,,Cybersecurity Analyst,Hire,60343.0,8.0,100.0,,
91.0,David Santos,"NLP, TensorFlow",4.0,MBA,Google ML,AI Researcher,Hire,49331.0,7.0,95.0,,
92.0,Melissa Salinas,"Pytorch, TensorFlow, Python",4.0,MBA,Google ML,AI Researcher,Hire,67536.0,6.0,95.0,,
93.0,Cody Pace,"TensorFlow, NLP, Pytorch",5.0,B.Sc,AWS Certified,AI Researcher,Hire,88653.0,0.0,75.0,,
94.0,Juan Jimenez,"NLP, Pytorch",0.0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,87556.0,10.0,70.0,,
95.0,Madison Dunn,"Java, SQL, C++",9.0,B.Tech,Google ML,Software Engineer,Hire,113365.0,8.0,100.0,,
96.0,Stephen Watkins,"TensorFlow, Pytorch, Python, NLP",1.0,B.Sc,AWS Certified,AI Researcher,Reject,97235.0,4.0,60.0,,
97.0,Dawn Tucker,"TensorFlow, NLP, Pytorch, Python",4.0,PhD,Deep Learning Specialization,AI Researcher,Hire,89633.0,2.0,80.0,,
98.0,Michelle Benton,"TensorFlow, Pytorch, NLP, Python",6.0,B.Tech,AWS Certified,AI Researcher,Hire,109750.0,9.0,100.0,,
99.0,Shannon Patel,"Python, Deep Learning",6.0,PhD,Google ML,Data Scientist,Hire,63260.0,8.0,100.0,,
100.0,Sandra Perkins,"SQL, Java, React",6.0,B.Sc,Google ML,Software Engineer,Hire,67745.0,3.0,100.0,,
101.0,Sheryl Freeman,"Linux, Cybersecurity",1.0,M.Tech,Google ML,Cybersecurity Analyst,Reject,85755.0,3.0,45.0,,
102.0,Elaine Ryan,"Ethical Hacking, Cybersecurity",8.0,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,58775.0,3.0,100.0,,
103.0,Jonathan Hernandez,"Ethical Hacking, Networking",2.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49346.0,3.0,55.0,,
104.0,Emily Williamson,"Ethical Hacking, Networking, Linux",8.0,PhD,,Cybersecurity Analyst,Hire,97521.0,7.0,100.0,,
105.0,Miguel Dunn,"Java, SQL",5.0,B.Tech,Google ML,Software Engineer,Hire,81801.0,1.0,75.0,,
106.0,Natasha Orr,"Deep Learning, Machine Learning, SQL",7.0,B.Tech,AWS Certified,Data Scientist,Hire,118152.0,6.0,100.0,,
107.0,David Richardson,"NLP, Python, TensorFlow",9.0,B.Tech,AWS Certified,AI Researcher,Hire,105695.0,0.0,100.0,,
108.0,Michael Lewis,"Python, Deep Learning, Machine Learning",2.0,B.Tech,Deep Learning Specialization,Data Scientist,Reject,98024.0,2.0,55.0,,
109.0,Michael Jones,"Python, Machine Learning, SQL",4.0,B.Tech,,Data Scientist,Hire,85884.0,6.0,85.0,,
110.0,Nicole Hunt,"Ethical Hacking, Linux, Networking, Cybersecurity",7.0,MBA,,Cybersecurity Analyst,Hire,107237.0,3.0,100.0,,
111.0,Austin Hunter,"Java, React",9.0,B.Tech,Google ML,Software Engineer,Hire,117897.0,0.0,100.0,,
112.0,Richard Jones MD,"Machine Learning, SQL, Deep Learning",5.0,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033.0,4.0,95.0,,
113.0,Sydney Nelson,"SQL, Python, Machine Learning, Deep Learning",3.0,MBA,Deep Learning Specialization,Data Scientist,Hire,102054.0,1.0,65.0,,
114.0,Paula Mills,"Pytorch, TensorFlow",0.0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,98413.0,3.0,35.0,,
115.0,Meagan King,"C++, Java",2.0,MBA,Deep Learning Specialization,Software Engineer,Reject,85561.0,2.0,50.0,,
116.0,Tina Smith,"NLP, TensorFlow, Pytorch",9.0,PhD,,AI Researcher,Hire,88498.0,9.0,100.0,,
117.0,Mr. David Boyle,"Networking, Cybersecurity, Linux, Ethical Hacking",10.0,B.Tech,,Cybersecurity Analyst,Hire,101100.0,10.0,100.0,,
118.0,Mariah Randolph,"React, C++, Java",5.0,PhD,AWS Certified,Software Engineer,Hire,72099.0,10.0,100.0,,
119.0,Sandra Freeman,"React, Java, SQL",4.0,MBA,Google ML,Software Engineer,Hire,99599.0,9.0,100.0,,
120.0,Joseph Carroll,"React, C++, Java, SQL",5.0,MBA,Deep Learning Specialization,Software Engineer,Hire,68881.0,8.0,100.0,,
121.0,Cynthia Espinoza,"Java, React",6.0,B.Sc,Google ML,Software Engineer,Hire,62463.0,0.0,80.0,,
122.0,Robert Carey,"Python, TensorFlow, Pytorch, NLP",4.0,B.Sc,AWS Certified,AI Researcher,Hire,47581.0,2.0,80.0,,
123.0,Stephen Mcdonald,"Linux, Networking, Cybersecurity, Ethical Hacking",7.0,PhD,,Cybersecurity Analyst,Hire,91604.0,3.0,100.0,,
124.0,Haley Gonzalez,"SQL, Java",1.0,PhD,AWS Certified,Software Engineer,Hire,74663.0,9.0,75.0,,
125.0,Jaime Wilson,"Java, C++, React",6.0,MBA,AWS Certified,Software Engineer,Hire,64025.0,10.0,100.0,,
126.0,Taylor Cunningham,"SQL, Python",9.0,B.Sc,Deep Learning Specialization,Data Scientist,Hire,66133.0,2.0,100.0,,
127.0,Sophia Bradley,"Machine Learning, Python, Deep Learning, SQL",5.0,M.Tech,Deep Learning Specialization,Data Scientist,Hire,95222.0,5.0,100.0,,
128.0,Gary Hanson,"Pytorch, Python",3.0,MBA,Deep Learning Specialization,AI Researcher,Reject,48726.0,0.0,50.0,,
129.0,Michael Ingram,"Linux, Networking, Ethical Hacking, Cybersecurity",8.0,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,111242.0,5.0,100.0,,
130.0,Shannon Alvarez,"Python, NLP, Pytorch",3.0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,91770.0,0.0,55.0,,
131.0,Jonathan Howard,"NLP, Python, Pytorch, TensorFlow",1.0,B.Sc,AWS Certified,AI Researcher,Reject,113470.0,4.0,60.0,,
132.0,Rebecca Reynolds,"Java, C++, SQL",0.0,B.Sc,,Software Engineer,Reject,103202.0,3.0,30.0,,
133.0,Eric Gregory,"Ethical Hacking, Networking, Linux, Cybersecurity",8.0,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,114147.0,4.0,100.0,,
134.0,Brad Stephens,"C++, Java, React, SQL",1.0,PhD,,Software Engineer,Reject,116556.0,0.0,30.0,,
135.0,Paul Castro,"TensorFlow, NLP, Python, Pytorch",6.0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,60828.0,3.0,100.0,,
136.0,Elizabeth Williamson,"Networking, Cybersecurity",7.0,B.Sc,,Cybersecurity Analyst,Hire,42894.0,0.0,80.0,,
137.0,Mason Jones,"Linux, Cybersecurity, Ethical Hacking",4.0,M.Tech,,Cybersecurity Analyst,Hire,114988.0,5.0,80.0,,
138.0,Jean Clark,"Machine Learning, Python, SQL",10.0,M.Tech,Google ML,Data Scientist,Hire,88678.0,3.0,100.0,,
139.0,Tyler Henderson,"Deep Learning, SQL, Python, Machine Learning",4.0,M.Tech,,Data Scientist,Hire,60868.0,7.0,95.0,,
140.0,Jamie Robertson,"Ethical Hacking, Cybersecurity, Networking, Linux",3.0,MBA,Google ML,Cybersecurity Analyst,Hire,93303.0,1.0,65.0,,
141.0,Ronald Thomas,"Deep Learning, Python, SQL",3.0,B.Sc,Google ML,Data Scientist,Hire,64716.0,2.0,65.0,,
142.0,Ashley Peters,"Cybersecurity, Ethical Hacking, Linux",9.0,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,59885.0,2.0,100.0,,
143.0,Thomas Davis,"SQL, Machine Learning, Deep Learning, Python",5.0,B.Tech,,Data Scientist,Hire,89620.0,3.0,85.0,,
144.0,David Krause,"Networking, Linux, Cybersecurity, Ethical Hacking",10.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,83474.0,0.0,100.0,,
145.0,Tabitha Clark,"TensorFlow, Pytorch, Python",5.0,B.Tech,Google ML,AI Researcher,Hire,79333.0,5.0,100.0,,
146.0,Catherine Garcia,"TensorFlow, Pytorch, NLP",10.0,M.Tech,AWS Certified,AI Researcher,Hire,58221.0,8.0,100.0,,
147.0,Dawn Brown,"SQL, Python, Deep Learning, Machine Learning",10.0,PhD,,Data Scientist,Hire,119703.0,1.0,100.0,,
148.0,Joshua Hughes,"Python, Machine Learning",8.0,PhD,AWS Certified,Data Scientist,Hire,95978.0,4.0,100.0,,
149.0,Laurie Cervantes,"TensorFlow, NLP, Pytorch",6.0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,63269.0,0.0,85.0,,
150.0,Shannon Johnson,"Python, Machine Learning",9.0,B.Sc,Google ML,Data Scientist,Hire,83152.0,2.0,100.0,,
151.0,Karen Peters,"Ethical Hacking, Networking, Linux",3.0,B.Tech,Google ML,Cybersecurity Analyst,Hire,118508.0,7.0,90.0,,
152.0,Jacqueline Lee,"SQL, React, Java",6.0,PhD,AWS Certified,Software Engineer,Hire,99537.0,10.0,100.0,,
153.0,Dale Williams,"Python, Machine Learning, SQL, Deep Learning",7.0,PhD,AWS Certified,Data Scientist,Hire,62092.0,2.0,100.0,,
154.0,Victoria Kennedy,"Python, Deep Learning, SQL, Machine Learning",7.0,B.Tech,Google ML,Data Scientist,Hire,65981.0,0.0,100.0,,
155.0,Brandon Ruiz,"Ethical Hacking, Linux, Cybersecurity",5.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,53855.0,8.0,100.0,,
156.0,Anthony Neal,"Cybersecurity, Ethical Hacking, Networking, Linux",6.0,M.Tech,,Cybersecurity Analyst,Hire,98876.0,2.0,90.0,,
157.0,Paul Wallace,"Linux, Ethical Hacking, Networking, Cybersecurity",6.0,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,59082.0,5.0,100.0,,
158.0,Renee Odonnell DDS,"Pytorch, TensorFlow, Python",2.0,PhD,,AI Researcher,Reject,85955.0,1.0,40.0,,
159.0,Christopher White,"Ethical Hacking, Linux",6.0,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,113676.0,9.0,100.0,,
160.0,Margaret Holmes,"Cybersecurity, Linux",2.0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,118103.0,1.0,45.0,,
161.0,Michael Le,"SQL, Machine Learning",3.0,PhD,Deep Learning Specialization,Data Scientist,Hire,112466.0,9.0,95.0,,
162.0,Patricia Scott,"SQL, Machine Learning",5.0,M.Tech,AWS Certified,Data Scientist,Hire,99076.0,8.0,100.0,,
163.0,Katie Wall,"Linux, Cybersecurity",5.0,M.Tech,,Cybersecurity Analyst,Hire,115234.0,10.0,100.0,,
164.0,Steven Johnson,"TensorFlow, NLP, Python",1.0,M.Tech,,AI Researcher,Reject,76442.0,2.0,35.0,,
165.0,Rhonda Green,"Networking, Cybersecurity, Linux, Ethical Hacking",7.0,M.Tech,Google ML,Cybersecurity Analyst,Hire,117704.0,10.0,100.0,,
166.0,Christopher Fletcher,"Deep Learning, SQL",2.0,PhD,,Data Scientist,Reject,89120.0,3.0,45.0,,
167.0,Joel Hansen,"Pytorch, NLP, Python",3.0,M.Tech,AWS Certified,AI Researcher,Hire,76100.0,6.0,85.0,,
168.0,Katherine Cabrera,"Networking, Cybersecurity, Ethical Hacking",2.0,B.Sc,Google ML,Cybersecurity Analyst,Hire,63016.0,7.0,80.0,,
169.0,Shawn Schmidt,"Java, C++, React, SQL",9.0,B.Sc,Deep Learning Specialization,Software Engineer,Hire,68144.0,2.0,100.0,,
170.0,Ruth Prince,"Python, Machine Learning",7.0,M.Tech,,Data Scientist,Hire,98540.0,0.0,80.0,,
171.0,Scott Gray,"Networking, Ethical Hacking, Cybersecurity",8.0,MBA,,Cybersecurity Analyst,Hire,44474.0,1.0,100.0,,
172.0,Lisa Lawson,"Deep Learning, SQL, Python",3.0,B.Sc,AWS Certified,Data Scientist,Hire,50781.0,6.0,85.0,,
173.0,Brenda Crawford,"React, SQL, C++",3.0,B.Tech,Google ML,Software Engineer,Hire,100722.0,5.0,80.0,,
174.0,Phillip Shaw,"SQL, Python",9.0,PhD,Deep Learning Specialization,Data Scientist,Hire,69101.0,8.0,100.0,,
175.0,Lisa Jones,"Machine Learning, Deep Learning, Python, SQL",6.0,MBA,,Data Scientist,Hire,76085.0,4.0,100.0,,
176.0,Dillon Hoffman,"SQL, Machine Learning, Python, Deep Learning",9.0,B.Sc,Google ML,Data Scientist,Hire,57223.0,2.0,100.0,,
177.0,Eric Mendez,"C++, React",1.0,MBA,,Software Engineer,Reject,55836.0,3.0,35.0,,
178.0,Terry Kaufman,"SQL, Deep Learning, Python, Machine Learning",8.0,B.Sc,Google ML,Data Scientist,Hire,118651.0,5.0,100.0,,
179.0,Andrea Clark,"Pytorch, TensorFlow",3.0,MBA,,AI Researcher,Hire,81415.0,7.0,75.0,,
180.0,Erin Maynard,"Networking, Cybersecurity, Ethical Hacking",8.0,MBA,,Cybersecurity Analyst,Hire,65748.0,4.0,100.0,,
181.0,Jared Gonzalez,"Java, React",6.0,PhD,Deep Learning Specialization,Software Engineer,Hire,54170.0,7.0,100.0,,
182.0,Stephen Nichols,"Machine Learning, Deep Learning, SQL, Python",1.0,PhD,,Data Scientist,Hire,60495.0,7.0,65.0,,
183.0,Caleb Tucker,"Pytorch, NLP",0.0,B.Sc,,AI Researcher,Reject,42924.0,7.0,45.0,,
184.0,Caitlin Turner,"SQL, Deep Learning, Python",5.0,PhD,,Data Scientist,Hire,89654.0,3.0,80.0,,
185.0,Justin Myers Jr.,"React, Java, C++, SQL",7.0,M.Tech,Deep Learning Specialization,Software Engineer,Hire,89830.0,3.0,100.0,,
186.0,Anthony Benson,"Java, C++, React, SQL",5.0,MBA,Deep Learning Specialization,Software Engineer,Hire,64162.0,7.0,100.0,,
187.0,Valerie Morrison,"Pytorch, Python",0.0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,44226.0,7.0,55.0,,
188.0,Mary Wilson,"NLP, TensorFlow, Python",0.0,MBA,Deep Learning Specialization,AI Researcher,Reject,65417.0,3.0,40.0,,
189.0,Evelyn Porter,"SQL, Python, Machine Learning, Deep Learning",3.0,M.Tech,Google ML,Data Scientist,Hire,65930.0,5.0,85.0,,
190.0,Scott Salinas,"React, SQL, Java, C++",1.0,PhD,AWS Certified,Software Engineer,Hire,58162.0,5.0,65.0,,
191.0,Rachel Bridges,"Linux, Cybersecurity, Ethical Hacking",8.0,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,59707.0,8.0,100.0,,
192.0,Lori Porter,"Linux, Ethical Hacking",1.0,PhD,AWS Certified,Cybersecurity Analyst,Reject,60465.0,3.0,45.0,,
193.0,Keith Ayers,"TensorFlow, NLP, Python",3.0,MBA,Deep Learning Specialization,AI Researcher,Hire,80393.0,10.0,100.0,,
194.0,Nicholas Welch,"Machine Learning, SQL, Python",10.0,PhD,,Data Scientist,Hire,95170.0,6.0,100.0,,
195.0,Jason Carter,"Pytorch, Python, TensorFlow, NLP",9.0,B.Sc,AWS Certified,AI Researcher,Hire,114772.0,5.0,100.0,,
